name,slug,value,date_of_information,ranking,region
"Burma","burma","2.05","2021 est.","104","East Asia/Southeast Asia"
"France","france","2.04","2021 est.","105","Europe"
"Indonesia","indonesia","2.04","2021 est.","106","East Asia/Southeast Asia"
"Turkmenistan","turkmenistan","2.04","2021 est.","107","Central Asia"
"Tunisia","tunisia","2.03","2021 est.","108","Africa"
"Peru","peru","2.02","2021 est.","109","South America"
"Dominica","dominica","2.02","2021 est.","110","Central America"
"Virgin Islands","virgin-islands","2.01","2021 est.","111","Central America"
"Sint Maarten","sint-maarten","2.00","2021 est.","112","Central America"
"Sri Lanka","sri-lanka","2.00","2021 est.","113","South Asia"
"Curacao","curacao","1.99","2021 est.","114","Central America"
"Bahamas, The","bahamas-the","1.98","2021 est.","115","Central America"
"Iceland","iceland","1.96","2021 est.","116","Europe"
"Antigua and Barbuda","antigua-and-barbuda","1.96","2021 est.","117","Central America"
"Saudi Arabia","saudi-arabia","1.95","2021 est.","118","Middle East"
"Grenada","grenada","1.95","2021 est.","119","Central America"
"Turkey","turkey","1.94","2021 est.","120","Middle East"
"Iran","iran","1.93","2021 est.","121","Middle East"
"Nepal","nepal","1.93","2021 est.","122","South Asia"
"Mongolia","mongolia","1.93","2021 est.","123","East Asia/Southeast Asia"
"Ireland","ireland","1.93","2021 est.","124","Europe"
"Kosovo","kosovo","1.92","2021 est.","125","Europe"
"Greenland","greenland","1.92","2021 est.","126","North America"
"Gibraltar","gibraltar","1.91","2021 est.","127","Europe"
"Korea, North","korea-north","1.91","2021 est.","128","East Asia/Southeast Asia"
"Bermuda","bermuda","1.91","2021 est.","129","North America"
"Qatar","qatar","1.90","2021 est.","130","Middle East"
"Isle of Man","isle-of-man","1.90","2021 est.","131","Europe"
"Paraguay","paraguay","1.89","2021 est.","132","South America"
"Azerbaijan","azerbaijan","1.87","2021 est.","133","Middle East"
"Costa Rica","costa-rica","1.87","2021 est.","134","Central America"
"New Caledonia","new-caledonia","1.87","2021 est.","135","Australia - Oceania"
"New Zealand","new-zealand","1.87","2021 est.","136","Australia - Oceania"
"United Kingdom","united-kingdom","1.86","2021 est.","137","Europe"
"Sweden","sweden","1.86","2021 est.","138","Europe"
"Suriname","suriname","1.85","2021 est.","139","South America"
"United States","united-states","1.84","2021 est.","140","North America"
"Norway","norway","1.84","2021 est.","141","Europe"
"Cayman Islands","cayman-islands","1.83","2021 est.","142","Central America"
"Aruba","aruba","1.83","2021 est.","143","Central America"
"Seychelles","seychelles","1.82","2021 est.","144","Africa"
"French Polynesia","french-polynesia","1.82","2021 est.","145","Australia - Oceania"
"Montenegro","montenegro","1.82","2021 est.","146","Europe"
"Nicaragua","nicaragua","1.81","2021 est.","147","Central America"
"Saint Martin","saint-martin","1.80","2021 est.","148","Central America"
"Bhutan","bhutan","1.80","2021 est.","149","South Asia"
"Netherlands","netherlands","1.78","2021 est.","150","Europe"
"Denmark","denmark","1.77","2021 est.","151","Europe"
"Belgium","belgium","1.77","2021 est.","152","Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","1.77","2021 est.","153","Central America"
"Malaysia","malaysia","1.76","2021 est.","154","East Asia/Southeast Asia"
"Chile","chile","1.76","2021 est.","155","South America"
"Uruguay","uruguay","1.76","2021 est.","156","South America"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","1.75","2021 est.","157","Central America"
"Georgia","georgia","1.75","2021 est.","158","Middle East"
"Brunei","brunei","1.75","2021 est.","159","East Asia/Southeast Asia"
"Finland","finland","1.74","2021 est.","160","Europe"
"Australia","australia","1.74","2021 est.","161","Australia - Oceania"
"Uzbekistan","uzbekistan","1.73","2021 est.","162","Central Asia"
"Mauritius","mauritius","1.73","2021 est.","163","Africa"
"Brazil","brazil","1.73","2021 est.","164","South America"
"Saint Lucia","saint-lucia","1.73","2021 est.","165","Central America"
"Anguilla","anguilla","1.72","2021 est.","166","Central America"
"Lebanon","lebanon","1.71","2021 est.","167","Middle East"
"Wallis and Futuna","wallis-and-futuna","1.71","2021 est.","168","Australia - Oceania"
"Cuba","cuba","1.71","2021 est.","169","Central America"
"Maldives","maldives","1.71","2021 est.","170","South Asia"
"Barbados","barbados","1.70","2021 est.","171","Central America"
"Palau","palau","1.70","2021 est.","172","Australia - Oceania"
"Trinidad and Tobago","trinidad-and-tobago","1.70","2021 est.","173","Central America"
"Turks and Caicos Islands","turks-and-caicos-islands","1.70","2021 est.","174","Central America"
"Liechtenstein","liechtenstein","1.69","2021 est.","175","Europe"
"Bahrain","bahrain","1.68","2021 est.","176","Middle East"
"Jersey","jersey","1.66","2021 est.","177","Europe"
"United Arab Emirates","united-arab-emirates","1.65","2021 est.","178","Middle East"
"Armenia","armenia","1.65","2021 est.","179","Middle East"
"Saint Barthelemy","saint-barthelemy","1.64","2021 est.","180","Central America"
"Luxembourg","luxembourg","1.63","2021 est.","181","Europe"
"Estonia","estonia","1.61","2021 est.","182","Europe"
"Lithuania","lithuania","1.61","2021 est.","183","Europe"
"Russia","russia","1.60","2021 est.","184","Central Asia"
"China","china","1.60","2021 est.","185","East Asia/Southeast Asia"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","1.60","2021 est.","186","Africa"
"Slovenia","slovenia","1.59","2021 est.","187","Europe"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","1.58","2021 est.","188","North America"
"Moldova","moldova","1.58","2021 est.","189","Europe"
"Guernsey","guernsey","1.58","2021 est.","190","Europe"
"Switzerland","switzerland","1.58","2021 est.","191","Europe"
"Canada","canada","1.57","2021 est.","192","North America"
"Ukraine","ukraine","1.56","2021 est.","193","Europe"
"Thailand","thailand","1.54","2021 est.","194","East Asia/Southeast Asia"
"Latvia","latvia","1.54","2021 est.","195","Europe"
"Albania","albania","1.53","2021 est.","196","Europe"
"Monaco","monaco","1.52","2021 est.","197","Europe"
"San Marino","san-marino","1.52","2021 est.","198","Europe"
"Spain","spain","1.51","2021 est.","199","Europe"
"Belarus","belarus","1.51","2021 est.","201","Europe"
"Austria","austria","1.50","2021 est.","202","Europe"
"Malta","malta","1.50","2021 est.","203","Europe"
"Bulgaria","bulgaria","1.49","2021 est.","204","Europe"
"Czechia","czechia","1.49","2021 est.","205","Europe"
"Germany","germany","1.48","2021 est.","206","Europe"
"Cyprus","cyprus","1.48","2021 est.","207","Europe"
"Hungary","hungary","1.48","2021 est.","208","Europe"
"Italy","italy","1.47","2021 est.","209","Europe"
"Serbia","serbia","1.47","2021 est.","210","Europe"
"Slovakia","slovakia","1.45","2021 est.","211","Europe"
"Andorra","andorra","1.44","2021 est.","212","Europe"
"Croatia","croatia","1.44","2021 est.","213","Europe"
"Portugal","portugal","1.42","2021 est.","214","Europe"
"Poland","poland","1.39","2021 est.","215","Europe"
"Greece","greece","1.39","2021 est.","216","Europe"
"Romania","romania","1.38","2021 est.","217","Europe"
"Japan","japan","1.38","2021 est.","218","East Asia/Southeast Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","1.35","2021 est.","219","Europe"
"British Virgin Islands","british-virgin-islands","1.34","2021 est.","220","Central America"
"Montserrat","montserrat","1.31","2021 est.","221","Central America"
"Puerto Rico","puerto-rico","1.23","2021 est.","222","Central America"
"Hong Kong","hong-kong","1.22","2021 est.","223","East Asia/Southeast Asia"
"Macau","macau","1.21","2021 est.","224","East Asia/Southeast Asia"
"Singapore","singapore","1.15","2021 est.","225","East Asia/Southeast Asia"
"Korea, South","korea-south","1.09","2021 est.","226","East Asia/Southeast Asia"
"Taiwan","taiwan","1.07","2021 est.","227","East Asia/Southeast Asia"
